Action,Marker,MarkerGrey,Width,Height,Override
Cleanups,https://www.savethesound.org/wp-content/uploads/2020/11/Icon_Cleanups.png,https://www.savethesound.org/wp-content/uploads/2021/01/Inactive_Icon_Cleanups.png,34px,34px,FALSE
Climate & Resiliency,https://www.savethesound.org/wp-content/uploads/2020/11/Icon_Climate_and_Resiliency.png,https://www.savethesound.org/wp-content/uploads/2021/01/Inactive_Icon_Climate_and_Resiliency.png,34px,34px,FALSE
Ecological Restoration ,https://www.savethesound.org/wp-content/uploads/2020/11/Icon_Ecological_Restoration.png,https://www.savethesound.org/wp-content/uploads/2021/01/Inactive_Icon_Ecological_Restoration.png,34px,34px,FALSE
Legal,https://www.savethesound.org/wp-content/uploads/2020/11/Icon_Environmental_Justice.png,https://www.savethesound.org/wp-content/uploads/2021/01/Inactive_Icon_Environmental_Justice.png,34px,34px,FALSE
Healthy Waters,https://www.savethesound.org/wp-content/uploads/2020/11/Icon_Healthy_Water.png,https://www.savethesound.org/wp-content/uploads/2021/01/Inactive_Icon_Healthy_Water.png,34px,34px,FALSE
Protected Lands,https://www.savethesound.org/wp-content/uploads/2020/11/Icon_Protected_Lands.png,https://www.savethesound.org/wp-content/uploads/2021/01/Inactive_Icon_Protected_Lands.png,34px,34px,FALSE
Water Monitoring,https://www.savethesound.org/wp-content/uploads/2020/11/Icon_Water_Monitoring.png,https://www.savethesound.org/wp-content/uploads/2021/01/Inactive_Icon_Water_Monitoring.png,34px,34px,FALSE
SoundKeeper,https://www.savethesound.org/wp-content/uploads/2020/11/Icon_Soundkeeper.png,https://www.savethesound.org/wp-content/uploads/2021/01/Inactive_Icon_Soundkeeper.png,75px,34px,TRUE
Placeholder,https://live.staticflickr.com/65535/50576736566_42904e1bd5_k.jpg,,,,
